===== 2026-06-17T14:31:29.0151909+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.19MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.07%     171.3MiB / 2.711GiB   6.17%     391kB / 351kB     7.14MB / 59MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.11%     11.38MiB / 2.711GiB   0.41%     300MB / 306MB     10.9MB / 918kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              10.55%    239.8MiB / 2.711GiB   8.64%     875MB / 468MB     119MB / 1.46GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.47%     16.67MiB / 2.711GiB   0.60%     618kB / 757kB     77.1MB / 328kB    6
===== 2026-06-17T14:39:09.0919798+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          16.26%    87.21MiB / 2.711GiB   3.14%     294MB / 7.38MB    22.8MB / 4.25MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            241.24%   310.4MiB / 2.711GiB   11.18%    488MB / 1.18GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.03%     82.66MiB / 2.711GiB   2.98%     269kB / 147kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.11%     190.6MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.68MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.19MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     171MiB / 2.711GiB     6.16%     398kB / 357kB     7.14MB / 59MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           3.78%     10.89MiB / 2.711GiB   0.39%     304MB / 310MB     10.9MB / 918kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              73.64%    241.9MiB / 2.711GiB   8.72%     888MB / 475MB     119MB / 1.49GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.54%     17.04MiB / 2.711GiB   0.61%     624kB / 767kB     77.1MB / 328kB    6
===== 2026-06-17T14:39:16.4163486+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          7.50%     86.57MiB / 2.711GiB   3.12%     297MB / 7.46MB    22.8MB / 4.25MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            200.89%   310.8MiB / 2.711GiB   11.20%    495MB / 1.19GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.06%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.07%     83.15MiB / 2.711GiB   3.00%     272kB / 148kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     190.6MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.68MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.19MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.19%     170.7MiB / 2.711GiB   6.15%     404kB / 362kB     7.14MB / 59MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.16%     10.79MiB / 2.711GiB   0.39%     308MB / 314MB     10.9MB / 918kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              72.79%    243MiB / 2.711GiB     8.76%     897MB / 480MB     120MB / 1.51GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.54%     16.86MiB / 2.711GiB   0.61%     629kB / 774kB     77.1MB / 328kB    6
===== 2026-06-17T14:39:23.6918764+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          18.14%    87.56MiB / 2.711GiB   3.15%     301MB / 7.54MB    22.8MB / 4.25MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            345.87%   310.6MiB / 2.711GiB   11.19%    501MB / 1.21GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     83.39MiB / 2.711GiB   3.00%     276kB / 150kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.12%     190.6MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.68MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.19MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.06%     170.8MiB / 2.711GiB   6.15%     409kB / 366kB     7.14MB / 59MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.27%     10.59MiB / 2.711GiB   0.38%     312MB / 318MB     10.9MB / 918kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              116.75%   243.6MiB / 2.711GiB   8.78%     909MB / 486MB     120MB / 1.52GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.72%     17.05MiB / 2.711GiB   0.61%     635kB / 783kB     77.1MB / 328kB    6
===== 2026-06-17T14:39:31.0879294+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          14.07%    87.89MiB / 2.711GiB   3.17%     305MB / 7.65MB    22.8MB / 4.25MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            258.25%   310.8MiB / 2.711GiB   11.20%    508MB / 1.23GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.16%     82.66MiB / 2.711GiB   2.98%     279kB / 151kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.07%     190.6MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.68MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.19MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.29%     170.7MiB / 2.711GiB   6.15%     415kB / 372kB     7.14MB / 59MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           3.56%     10.77MiB / 2.711GiB   0.39%     316MB / 322MB     10.9MB / 918kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              89.45%    244.6MiB / 2.711GiB   8.81%     921MB / 493MB     120MB / 1.56GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.83%     16.57MiB / 2.711GiB   0.60%     641kB / 792kB     77.1MB / 328kB    6
===== 2026-06-17T14:39:38.2954527+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          4.03%     87.7MiB / 2.711GiB    3.16%     308MB / 7.72MB    22.8MB / 4.25MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            54.74%    310.8MiB / 2.711GiB   11.20%    513MB / 1.24GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.33%     83.39MiB / 2.711GiB   3.00%     283kB / 153kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.12%     190.6MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.68MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.19MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.32%     171MiB / 2.711GiB     6.16%     421kB / 377kB     7.14MB / 59MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.61%     11.08MiB / 2.711GiB   0.40%     320MB / 326MB     10.9MB / 918kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              72.65%    243.9MiB / 2.711GiB   8.79%     932MB / 499MB     120MB / 1.57GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.60%     16.36MiB / 2.711GiB   0.59%     648kB / 801kB     77.1MB / 328kB    6
===== 2026-06-17T14:39:45.6552064+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          18.53%    86.68MiB / 2.711GiB   3.12%     314MB / 7.87MB    22.8MB / 4.26MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            339.66%   311.4MiB / 2.711GiB   11.22%    524MB / 1.26GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     83.37MiB / 2.711GiB   3.00%     286kB / 154kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     190.7MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.69MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.18MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.12%     170.2MiB / 2.711GiB   6.13%     426kB / 381kB     7.14MB / 59.8MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           7.08%     10.65MiB / 2.711GiB   0.38%     324MB / 331MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              103.86%   250.4MiB / 2.711GiB   9.02%     949MB / 509MB     122MB / 1.61GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.69%     16.58MiB / 2.711GiB   0.60%     653kB / 808kB     77.1MB / 336kB    6
===== 2026-06-17T14:39:53.2516791+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          17.64%    87.41MiB / 2.711GiB   3.15%     318MB / 7.98MB    22.8MB / 4.26MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            327.27%   311.4MiB / 2.711GiB   11.22%    532MB / 1.28GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.11%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.26%     83.37MiB / 2.711GiB   3.00%     290kB / 156kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     190.7MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.69MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.18MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.13%     170.4MiB / 2.711GiB   6.14%     432kB / 387kB     7.14MB / 59.8MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.97%     10.43MiB / 2.711GiB   0.38%     330MB / 336MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              108.85%   251.4MiB / 2.711GiB   9.06%     962MB / 516MB     123MB / 1.62GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     17.53MiB / 2.711GiB   0.63%     659kB / 818kB     78MB / 336kB      6
===== 2026-06-17T14:40:00.6734428+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          9.83%     87.41MiB / 2.711GiB   3.15%     322MB / 8.1MB     22.8MB / 4.26MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            28.78%    312MiB / 2.711GiB     11.24%    539MB / 1.3GB     14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.07%     83.12MiB / 2.711GiB   2.99%     294kB / 158kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     190.7MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.69MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.18MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.21%     170.4MiB / 2.711GiB   6.14%     438kB / 392kB     7.14MB / 59.8MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.10%     11.29MiB / 2.711GiB   0.41%     334MB / 340MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              9.50%     253MiB / 2.711GiB     9.12%     975MB / 523MB     123MB / 1.65GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.54%     17.31MiB / 2.711GiB   0.62%     665kB / 827kB     78MB / 336kB      6
===== 2026-06-17T14:40:08.1915204+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          3.62%     87.07MiB / 2.711GiB   3.14%     325MB / 8.16MB    22.8MB / 4.26MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            118.16%   312.4MiB / 2.711GiB   11.26%    544MB / 1.31GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.22%     83.38MiB / 2.711GiB   3.00%     298kB / 159kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     190.7MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.69MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.18MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.21%     170.7MiB / 2.711GiB   6.15%     444kB / 397kB     7.14MB / 59.8MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           1.17%     11.34MiB / 2.711GiB   0.41%     336MB / 343MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              5.20%     254.4MiB / 2.711GiB   9.16%     982MB / 528MB     124MB / 1.66GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.61%     17.24MiB / 2.711GiB   0.62%     672kB / 836kB     78MB / 336kB      6
===== 2026-06-17T14:40:15.7327047+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          18.19%    86.81MiB / 2.711GiB   3.13%     330MB / 8.26MB    22.8MB / 4.28MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            298.01%   311.9MiB / 2.711GiB   11.24%    551MB / 1.33GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     83.13MiB / 2.711GiB   2.99%     301kB / 161kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     190.7MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.69MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.18MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.12%     169.9MiB / 2.711GiB   6.12%     449kB / 402kB     7.14MB / 60.3MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.90%     10.58MiB / 2.711GiB   0.38%     342MB / 349MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              117.76%   255.7MiB / 2.711GiB   9.21%     997MB / 535MB     127MB / 1.7GB     14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     17.28MiB / 2.711GiB   0.62%     677kB / 843kB     78MB / 336kB      6
===== 2026-06-17T14:40:23.1925254+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          12.58%    86.88MiB / 2.711GiB   3.13%     335MB / 8.37MB    22.8MB / 4.28MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            211.36%   311.8MiB / 2.711GiB   11.23%    559MB / 1.35GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     193MiB / 2.711GiB     6.95%     35kB / 24.4kB     18.4MB / 1.75MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          1.90%     83.12MiB / 2.711GiB   2.99%     305kB / 163kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     190.5MiB / 2.711GiB   6.86%     34.9kB / 24.4kB   10.1MB / 1.99MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.18MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.23%     169.9MiB / 2.711GiB   6.12%     455kB / 407kB     7.14MB / 60.3MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.10%     10.25MiB / 2.711GiB   0.37%     347MB / 354MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              86.62%    259.1MiB / 2.711GiB   9.34%     1.01GB / 542MB    130MB / 1.71GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     17.17MiB / 2.711GiB   0.62%     683kB / 852kB     78MB / 336kB      6
===== 2026-06-17T14:40:30.5361197+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          12.09%    87.74MiB / 2.711GiB   3.16%     337MB / 8.44MB    22.8MB / 4.28MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            225.53%   311.7MiB / 2.711GiB   11.23%    563MB / 1.36GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     193MiB / 2.711GiB     6.95%     35kB / 24.4kB     18.4MB / 1.75MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     82.64MiB / 2.711GiB   2.98%     308kB / 164kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     190.5MiB / 2.711GiB   6.86%     34.9kB / 24.4kB   10.1MB / 1.99MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.18MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.06%     170.1MiB / 2.711GiB   6.13%     460kB / 411kB     7.14MB / 60.3MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           3.27%     11.2MiB / 2.711GiB    0.40%     349MB / 356MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              87.52%    259.3MiB / 2.711GiB   9.34%     1.02GB / 546MB    130MB / 1.72GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.53%     16.87MiB / 2.711GiB   0.61%     688kB / 859kB     78MB / 336kB      6
===== 2026-06-17T14:40:37.2447548+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          4.22%     87.64MiB / 2.711GiB   3.16%     341MB / 8.53MB    22.8MB / 4.28MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            54.53%    307.5MiB / 2.711GiB   11.08%    570MB / 1.37GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     193MiB / 2.711GiB     6.95%     35kB / 24.4kB     18.4MB / 1.75MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     82.89MiB / 2.711GiB   2.99%     312kB / 165kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.12%     190.4MiB / 2.711GiB   6.86%     34.9kB / 24.4kB   10.1MB / 2MB      5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.18MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.07%     169.6MiB / 2.711GiB   6.11%     466kB / 417kB     7.14MB / 60.3MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           1.16%     11.34MiB / 2.711GiB   0.41%     354MB / 361MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              22.64%    261MiB / 2.711GiB     9.40%     1.03GB / 553MB    132MB / 1.75GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     16.86MiB / 2.711GiB   0.61%     695kB / 868kB     78MB / 344kB      6
===== 2026-06-17T14:40:44.6212695+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          18.31%    87.82MiB / 2.711GiB   3.16%     345MB / 8.62MB    22.8MB / 4.28MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            307.03%   309.1MiB / 2.711GiB   11.14%    576MB / 1.39GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.15%     193MiB / 2.711GiB     6.95%     35kB / 24.4kB     18.4MB / 1.75MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.13%     83.39MiB / 2.711GiB   3.00%     316kB / 167kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.18%     190.4MiB / 2.711GiB   6.86%     34.9kB / 24.4kB   10.1MB / 2.13MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.17MiB / 2.711GiB   2.89%     1.92kB / 126B     7.58MB / 41kB     1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.33%     169.3MiB / 2.711GiB   6.10%     472kB / 423kB     7.14MB / 60.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           7.51%     10.85MiB / 2.711GiB   0.39%     358MB / 365MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              151.48%   269.1MiB / 2.711GiB   9.69%     1.04GB / 559MB    136MB / 1.76GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.66%     17.05MiB / 2.711GiB   0.61%     701kB / 878kB     78MB / 344kB      6
===== 2026-06-17T14:40:52.0311188+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          8.00%     86.86MiB / 2.711GiB   3.13%     349MB / 8.7MB     22.8MB / 4.28MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            121.16%   309.8MiB / 2.711GiB   11.16%    582MB / 1.4GB     14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.12%     193MiB / 2.711GiB     6.95%     35kB / 24.4kB     18.4MB / 1.75MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     83.14MiB / 2.711GiB   3.00%     319kB / 168kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     190.4MiB / 2.711GiB   6.86%     34.9kB / 24.4kB   10.1MB / 2.13MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.58MB / 41kB     1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.06%     170MiB / 2.711GiB     6.13%     477kB / 427kB     7.14MB / 60.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.47%     10.88MiB / 2.711GiB   0.39%     361MB / 368MB     10.9MB / 934kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              42.57%    271.2MiB / 2.711GiB   9.77%     1.05GB / 565MB    137MB / 1.8GB     14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.51%     17.27MiB / 2.711GiB   0.62%     706kB / 885kB     78MB / 344kB      6
===== 2026-06-17T14:40:59.2590065+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
